"Label"	"File"	"Line"	"Lines"	"Media"	"Text"	"Menu"	"Events"
"Forest"	"game\Forest\Forest.rpy"	"326"	"29"	""	"$ MainTxt = forest_build_entry_text(CurrentRoom) || $ CurLocDesc = MainTxt || $ MainTxt = MainTxt + ""\n\nСегодня здесь можно кое-что найти, если внимательно осмотреться."""	""	""
"ForestObjectMenu"	"game\Forest\Forest.rpy"	"355"	"37"	""	"$ MainTxt = _forest_object.description || $ CurLocDesc = MainTxt"	"current_action_items.append(MenuItem(_forest_action.label, Call(""ForestObjectText"", object_id, _forest_action.action_id))) || current_action_items.append(MenuItem(_forest_action.label, Call(_forest_action.target, *_forest_args))) || current_action_items.append(MenuItem(_forest_action.label, Jump(_forest_action.target)))"	""
"ForestObjectText"	"game\Forest\Forest.rpy"	"392"	"21"	""	"MainTxt = _forest_text || CurLocDesc = _forest_text"	""	""
"WerecatForestSearch"	"game\Forest\Forest.rpy"	"413"	"25"	"vscene werecat_info_picture_path()"	"$ MainTxt = str(_werecat_search.get(""text"", """") or """") || $ CurLocDesc = MainTxt"	""	""
"ForestSpawnedItemMenu"	"game\Forest\Forest.rpy"	"438"	"34"	"vscene _spawn_picture"	"$ MainTxt = str(_spawn_item.description or """") || $ CurLocDesc = MainTxt"	"MenuItem(""Подобрать ("" + str(_spawn_units) + "")"", Call(""ForestTakeSpawnedItem"", item_id)), || MenuItem(""Назад"", ["	""
"ForestTakeSpawnedItem"	"game\Forest\Forest.rpy"	"472"	"20"	""	"$ MainTxt = ""Вы подбираете: [(_taken_item.name)] x[(_taken_units)]."" || $ CurLocDesc = MainTxt"	""	""
"ForestSubroomExplore"	"game\Forest\Forest.rpy"	"492"	"19"	"call ShowImage("""", """", werecat_info_picture_path())"	"$ MainTxt = forest_room_saved_text(CurrentRoom) || $ MainTxt = str(MainTxt or """") + ""\n\n"" + str(_werecat_search.get(""text"", """") or """") || $ MainTxt = forest_room_saved_text(CurrentRoom) + ""\n\nВнимательно осмотревшись, вы замечаете, что здесь можно кое-что собрать."""	""	""
"ForestSubroomSpawnedItemMenu"	"game\Forest\Forest.rpy"	"511"	"29"	"vscene _spawn_picture"	"$ MainTxt = str(_spawn_item.description or """") || $ CurLocDesc = MainTxt"	"MenuItem(""Подобрать ("" + str(_spawn_units) + "")"", Call(""ForestSubroomTakeSpawnedItem"", item_id)), || MenuItem(""Назад"", [SetVariable(""current_action_title"", str(getattr(CurrentRoom, ""display_name"", ""Лес"") or ""Лес"")), SetVariable(""current_action_content"", None), SetVariable(""current_action_items"", forest_subroom_action_items()), Function(main_ui_restart_interaction)]),"	""
"ForestSubroomTakeSpawnedItem"	"game\Forest\Forest.rpy"	"540"	"22"	""	"$ MainTxt = ""Вы подбираете: [(_taken_item.name)] x[(_taken_units)]."" || $ CurLocDesc = MainTxt"	""	""
"ForestLakeBath"	"game\Forest\Forest.rpy"	"562"	"14"	""	"$ MainTxt = ""Вы раздеваетесь, заходите в прохладную воду и хорошенько смываете с себя дорожную пыль и пот. После купания вы чувствуете себя заметно свежее."" || $ CurLocDesc = MainTxt"	""	""
"ForestLakeWashHorse"	"game\Forest\Forest.rpy"	"576"	"15"	""	"$ MainTxt = ""Вы осторожно заводите %s в воду и тщательно смываете с него дорожную грязь и пыль. Конь фыркает, встряхивает гривой и выглядит заметно бодрее."" % player.horse.name || $ CurLocDesc = MainTxt"	""	""
"ForestCave"	"game\Forest\ForestCave.rpy"	"38"	"24"	""	"$ MainTxt = ForestCaveRoom.descriptions[0].text || $ CurLocDesc = MainTxt || $ MainTxt = MainTxt + ""\n\nДаже здесь можно отыскать кое-что съедобное или полезное."""	""	""
"ForestClearing"	"game\Forest\ForestClearing.rpy"	"34"	"29"	""	"$ MainTxt = ForestClearingRoom.descriptions[0].text || $ MainTxt = MainTxt + ""\n\nНа краю поляны вы замечаете Клариссу, явно вышедшую сюда прогуляться и подышать лесным воздухом."" || $ CurLocDesc = MainTxt"	""	""
"ForestDarkWoods"	"game\Forest\ForestDarkWoods.rpy"	"33"	"24"	""	"$ MainTxt = ForestDarkWoodsRoom.descriptions[0].text || $ CurLocDesc = MainTxt || $ MainTxt = MainTxt + ""\n\nВ тенях между стволами можно наткнуться на кое-что полезное."""	""	""
"ForestHiddenPath"	"game\Forest\ForestHiddenPath.rpy"	"32"	"24"	""	"$ MainTxt = ForestHiddenPathRoom.descriptions[0].text || $ CurLocDesc = MainTxt || $ MainTxt = MainTxt + ""\n\nВ зарослях у тропы можно кое-что собрать."""	""	""
