Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
WerecatForestSearch_d51f2c38		[MainTxt]	game/Forest/Forest.rpy	416	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_19900abb		На кухне и без огня уже слишком жарко.	game/Inn/HouseholdMiniEvents.rpy	28	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_2b0f5cad		Сандра стоит у стола и что-то помечает с таким лицом, будто до конца завтрака всем еще добавят работы.	game/Inn/HouseholdMiniEvents.rpy	30	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_95b5fdd1		Сандра: Если этот дом собирается выжить, хоть кто-то здесь должен помнить о порядке.	game/Inn/HouseholdMiniEvents.rpy	32	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_1bdf82a4		Аманда поднимает взгляд от своей работы.	game/Inn/HouseholdMiniEvents.rpy	34	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_cb004634		Аманда: Забавно. Порядок почему-то всегда значит, что наши руки заняты, а твой рот свободен.	game/Inn/HouseholdMiniEvents.rpy	36	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_84bb5ffa		Мелисса едва не смеется, но прячет улыбку за кружкой.	game/Inn/HouseholdMiniEvents.rpy	38	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_c5cfaa3a		Сандра: Следи за языком.	game/Inn/HouseholdMiniEvents.rpy	40	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_4aa21b79		Улыбка Аманды становится острее.	game/Inn/HouseholdMiniEvents.rpy	42	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_8471ea06		Аманда: Я и слежу. В этом-то и проблема.	game/Inn/HouseholdMiniEvents.rpy	44	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_86ec1c9c		На мгновение вся кухня затихает.	game/Inn/HouseholdMiniEvents.rpy	46	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_19ac8f1f		Аманда слушается, но взгляд у нее остается злым.	game/Inn/HouseholdMiniEvents.rpy	50	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_06d52235		Сандра медленно закрывает записную книжку.	game/Inn/HouseholdMiniEvents.rpy	55	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_11878315		Сандра: Так теперь я проблема?	game/Inn/HouseholdMiniEvents.rpy	56	"[what]"
HouseholdEvent_KitchenAmandaSandraSpark_cf0abc6d		Ни одна из них не выглядит довольной, но обе понимают, к чему вы клоните.	game/Inn/HouseholdMiniEvents.rpy	61	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_52947e28		Мелисса смотрит на комнату так, будто считает каждую недостающую монету и каждую грязную тарелку.	game/Inn/HouseholdMiniEvents.rpy	71	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_c2de7ece		Мелисса: Мы не можем дальше притворяться, что все в порядке.	game/Inn/HouseholdMiniEvents.rpy	73	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_321889bf		Она кивает в сторону полок.	game/Inn/HouseholdMiniEvents.rpy	75	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_082cd6f9		Мелисса: Еда, чистая ткань, ремонт. Если это провалится, все начнут драться за поблажки вместо работы.	game/Inn/HouseholdMiniEvents.rpy	77	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_4be79fc9		Сандра: Хоть кто-то здесь умеет считать.	game/Inn/HouseholdMiniEvents.rpy	79	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_59cfff47		Мелисса тонко улыбается.	game/Inn/HouseholdMiniEvents.rpy	81	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_af8f4d21		Мелисса: Считать я умею. И помнить, кому помогают первым, тоже.	game/Inn/HouseholdMiniEvents.rpy	83	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_0ebbd6c1		Мелисса немного расслабляется.	game/Inn/HouseholdMiniEvents.rpy	87	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_3b4c485d		Мелисса ничего не отвечает, но лицо у нее становится холоднее.	game/Inn/HouseholdMiniEvents.rpy	92	"[what]"
HouseholdEvent_KitchenMelissaPracticalComplaint_fe6c27df		Мелисса: Сначала надежность. Потом удобство. После этого со всеми становится куда проще иметь дело.	game/Inn/HouseholdMiniEvents.rpy	96	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_395b7b1b		Завтрак начинается с мелких звуков, коротких взглядов и такого молчания, которое совсем не похоже на мир.	game/Inn/HouseholdMiniEvents.rpy	104	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_2c65a465		Аманда: Ну что, кто сегодня притворяется невинной?	game/Inn/HouseholdMiniEvents.rpy	106	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_2d740d97		Мелисса: Смотря кто старается сильнее.	game/Inn/HouseholdMiniEvents.rpy	108	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_391a8007		Аманда смеется.	game/Inn/HouseholdMiniEvents.rpy	110	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_cd5636e8		Сандра переводит взгляд с одной девушки на другую.	game/Inn/HouseholdMiniEvents.rpy	112	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_547f8f7f		Сандра: Ешьте. Работайте. Потом разговаривайте.	game/Inn/HouseholdMiniEvents.rpy	114	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_a2f375dc		Аманда: Вот. Домашняя проповедь.	game/Inn/HouseholdMiniEvents.rpy	116	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_9fa69de6		Мелисса постукивает ложкой по миске.	game/Inn/HouseholdMiniEvents.rpy	118	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_57980e9f		Мелисса: Осторожнее. Когда трактир беднеет, проповеди становятся длиннее.	game/Inn/HouseholdMiniEvents.rpy	120	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_1fe072c8		За столом становится громче, но никто не уходит.	game/Inn/HouseholdMiniEvents.rpy	124	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_0940b130		Последующее молчание оказывается хуже шума.	game/Inn/HouseholdMiniEvents.rpy	128	"[what]"
HouseholdEvent_BreakfastSquirrelMockery_5c24fd74		Они ворчат, но разговор становится полезнее.	game/Inn/HouseholdMiniEvents.rpy	133	"[what]"
HouseholdEvent_AmandaPrivatePressure_3d288358		Аманда находит повод оказаться рядом, когда поблизости нет никого лишнего.	game/Inn/HouseholdMiniEvents.rpy	141	"[what]"
HouseholdEvent_AmandaPrivatePressure_dac9ccec		Напрямую она не просит. Это было бы слишком просто.	game/Inn/HouseholdMiniEvents.rpy	143	"[what]"
HouseholdEvent_AmandaPrivatePressure_f227ea96		Аманда: Ты всегда замечаешь, чего не хватает трактиру.	game/Inn/HouseholdMiniEvents.rpy	145	"[what]"
HouseholdEvent_AmandaPrivatePressure_8ee0d493		Она делает шаг ближе.	game/Inn/HouseholdMiniEvents.rpy	147	"[what]"
HouseholdEvent_AmandaPrivatePressure_372b02d1		Аманда: А замечаешь, чего не хватает мне?	game/Inn/HouseholdMiniEvents.rpy	149	"[what]"
HouseholdEvent_AmandaPrivatePressure_688950d0		Аманда: Смотря что ты можешь себе позволить. Внимание дешево стоит. Красивые вещи - нет.	game/Inn/HouseholdMiniEvents.rpy	153	"[what]"
HouseholdEvent_AmandaPrivatePressure_53c5c967		Аманда улыбается, но совсем не ласково.	game/Inn/HouseholdMiniEvents.rpy	158	"[what]"
