filename,location_name,type,detected_keywords,semantic_score,notes,tables_detected
$menu_f.txt,$menu_f,unknown,"[""IF"", ""ARGS"", ""GS"", ""END"", ""ELSEIF""]","{""movement"": 0, ""dialog"": 0, ""system"": 1, ""action"": 0, ""visual"": 0}",,False
AddCleanScreen.txt,AddCleanScreen,unknown,"[""MAINTXT"", ""GS"", ""END""]","{""movement"": 0, ""dialog"": 0, ""system"": 0, ""action"": 0, ""visual"": 0}",,False
AddCleanScreenButton.txt,AddCleanScreenButton,unknown,"[""GS"", ""END"", ""ACT""]","{""movement"": 0, ""dialog"": 0, ""system"": 0, ""action"": 1, ""visual"": 0}",,False
AddOthersSperm.txt,AddOthersSperm,unknown,"[""RAND"", ""IF"", ""ARGS"", ""END""]","{""movement"": 0, ""dialog"": 0, ""system"": 1, ""action"": 0, ""visual"": 0}",,False
AdjustOtkroven.txt,AdjustOtkroven,unknown,"[""ELSE"", ""IF"", ""ARGS"", ""OR"", ""END"", ""AND"", ""ELSEIF""]","{""movement"": 0, ""dialog"": 0, ""system"": 1, ""action"": 0, ""visual"": 0}",,False
AdvanceTime.txt,AdvanceTime,world_location,"[""ELSE"", ""GT"", ""IF"", ""ARGS"", ""GS"", ""END""]","{""movement"": 1, ""dialog"": 0, ""system"": 1, ""action"": 0, ""visual"": 0}",movement commands detected,False
AfterDanceLegare.txt,AfterDanceLegare,world_location,"[""ELSE"", ""FUNC"", ""RAND"", ""GT"", ""DYNEVAL"", ""IF"", ""MAX"", ""P"", ""CLS"", ""ARGS"", ""PL"", ""OR"", ""GS"", ""END"", ""ACT"", ""DYNAMIC"", ""AND"", ""ELSEIF"", ""CLA""]","{""movement"": 1, ""dialog"": 2, ""system"": 2, ""action"": 1, ""visual"": 0}",movement commands detected,False
AfterDanceSexLegare.txt,AfterDanceSexLegare,world_location,"[""ELSE"", ""RAND"", ""GT"", ""DYNEVAL"", ""IF"", ""P"", ""ARGS"", ""OR"", ""GS"", ""END"", ""ACT"", ""DYNAMIC"", ""AND"", ""ELSEIF"", ""CLA""]","{""movement"": 1, ""dialog"": 1, ""system"": 2, ""action"": 1, ""visual"": 0}",movement commands detected,False
AmandaAtGloryHole.txt,AmandaAtGloryHole,npc,"[""ELSE"", ""RAND"", ""GT"", ""DYNEVAL"", ""IF"", ""MAX"", ""MENU"", ""P"", ""OR"", ""GS"", ""RESULT"", ""END"", ""IIF"", ""ACT"", ""AND"", ""ELSEIF""]","{""movement"": 1, ""dialog"": 1, ""system"": 1, ""action"": 2, ""visual"": 0}",semantic npc name detected,False
AmandaAtHomeCode.txt,AmandaAtHomeCode,world_location,"[""ELSE"", ""RAND"", ""GT"", ""IF"", ""MENU"", ""NO"", ""P"", ""ARGS"", ""CLR"", ""OR"", ""GS"", ""END"", ""ACT"", ""DYNAMIC"", ""XGT"", ""AND"", ""ELSEIF"", ""CLA""]","{""movement"": 2, ""dialog"": 1, ""system"": 2, ""action"": 2, ""visual"": 0}",semantic world name detected,False
